Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,82.05000305175781,83.01000213623047,81.83000183105469,83.01000213623047,77.53451538085938,16121300
2020-01-03,82.05999755859375,82.94999694824219,81.98999786376953,82.8499984741211,77.38507843017578,17571300
2020-01-06,82.45999908447266,82.88999938964844,82.2699966430664,82.87999725341797,77.41309356689453,16153100
2020-01-07,82.56999969482422,83.0199966430664,82.29000091552734,82.70999908447266,77.25431823730469,16675400
2020-01-08,82.7699966430664,83.36000061035156,82.62999725341797,82.98999786376953,77.5158462524414,10677700
2020-01-09,83.33999633789062,83.43000030517578,83.08000183105469,83.33999633789062,77.84274291992188,7407200
2020-01-10,83.51000213623047,83.51000213623047,82.61000061035156,82.75,77.29167938232422,8856800
2020-01-13,83.01000213623047,83.5199966430664,82.8499984741211,83.43000030517578,77.92682647705078,7893800
2020-01-14,83.4800033569336,83.9800033569336,83.33000183105469,83.44000244140625,77.93616485595703,9649400
2020-01-15,83.44999694824219,83.91999816894531,83.37999725341797,83.56999969482422,78.0575942993164,12014500
2020-01-16,84.0,84.44000244140625,83.93000030517578,84.4000015258789,78.83283233642578,9493300
2020-01-17,84.45999908447266,84.80999755859375,84.30000305175781,84.41000366210938,78.84219360351562,7013400
2020-01-21,84.02999877929688,84.2699966430664,83.11000061035156,83.4800033569336,77.97351837158203,13005000
2020-01-22,83.70999908447266,83.9000015258789,82.9800033569336,83.04000091552734,77.56255340576172,7490500
2020-01-23,82.93000030517578,84.05000305175781,82.62999725341797,83.94000244140625,78.40319061279297,10758500
2020-01-24,84.0999984741211,84.16999816894531,82.93000030517578,83.55000305175781,78.0389175415039,13402200
2020-01-27,82.05999755859375,82.5199966430664,81.97000122070312,81.97000122070312,76.5631332397461,15013800
2020-01-28,82.23999786376953,82.91000366210938,81.86000061035156,82.5,77.05815887451172,14918000
2020-01-29,83.33000183105469,83.56999969482422,82.8499984741211,82.94000244140625,77.46914672851562,10355100
2020-01-30,82.13999938964844,83.12000274658203,81.97000122070312,83.02999877929688,77.55320739746094,13158200
2020-01-31,82.58000183105469,82.69999694824219,80.80000305175781,81.11000061035156,75.75984954833984,19083600
2020-02-03,81.55000305175781,82.2300033569336,80.98999786376953,81.08000183105469,75.73184967041016,15676600
2020-02-04,82.31999969482422,82.80999755859375,82.23999786376953,82.61000061035156,77.1609115600586,13597200
2020-02-05,83.54000091552734,84.0,83.11000061035156,83.98999786376953,78.44986724853516,12835800
2020-02-06,84.33000183105469,84.4000015258789,83.72000122070312,84.26000213623047,78.70205688476562,8627600
2020-02-07,83.94000244140625,84.1500015258789,83.58000183105469,83.6500015258789,78.13231658935547,12394500
2020-02-10,83.5199966430664,84.13999938964844,83.41999816894531,84.12000274658203,78.5713119506836,8074200
2020-02-11,84.55000305175781,84.83999633789062,84.2300033569336,84.44000244140625,78.87019348144531,6291400
2020-02-12,84.9000015258789,85.33000183105469,84.69999694824219,85.2300033569336,79.60810852050781,7808900
2020-02-13,84.79000091552734,85.11000061035156,84.45999908447266,84.75,79.15975952148438,8231500
2020-02-14,84.7300033569336,84.88999938964844,84.30000305175781,84.63999938964844,79.05701446533203,5319300
2020-02-18,84.29000091552734,84.52999877929688,83.7699966430664,84.16000366210938,78.60867309570312,10399700
2020-02-19,84.33000183105469,84.56999969482422,84.08999633789062,84.12999725341797,78.58065795898438,4638700
2020-02-20,83.9800033569336,84.58999633789062,83.4000015258789,84.01000213623047,78.46857452392578,9518700
2020-02-21,83.55999755859375,83.83999633789062,83.20999908447266,83.58999633789062,78.07626342773438,13184800
2020-02-24,81.20999908447266,81.72000122070312,80.70999908447266,81.20999908447266,75.85325622558594,18010100
2020-02-25,81.37999725341797,81.62000274658203,77.69000244140625,77.9000015258789,72.76160430908203,33000700
2020-02-26,78.38999938964844,79.38999938964844,77.13999938964844,77.30999755859375,72.21049499511719,32619800
2020-02-27,75.79000091552734,77.4000015258789,74.38999938964844,74.44000244140625,69.5298080444336,42597300
2020-02-28,72.16999816894531,73.66999816894531,71.30000305175781,73.08000183105469,68.25952911376953,79118200
2020-03-02,73.94999694824219,75.83000183105469,72.58999633789062,75.6500015258789,70.66001892089844,44798900
2020-03-03,75.8499984741211,77.52999877929688,73.3499984741211,73.80000305175781,68.93204498291016,53823900
2020-03-04,74.95999908447266,76.94999694824219,74.26000213623047,76.8499984741211,71.78083801269531,32387800
2020-03-05,74.66999816894531,75.22000122070312,72.7699966430664,73.08999633789062,68.26885986328125,28762200
2020-03-06,70.66000366210938,72.73999786376953,70.44999694824219,72.44999694824219,67.67109680175781,40681300
2020-03-09,66.69999694824219,68.3499984741211,65.08000183105469,65.7699966430664,61.431705474853516,24792500
2020-03-10,68.04000091552734,69.2300033569336,65.3499984741211,69.18000030517578,64.61677551269531,18385600
2020-03-11,67.04000091552734,67.6500015258789,64.4000015258789,65.12000274658203,60.824588775634766,28414900
2020-03-12,59.59000015258789,63.0,54.099998474121094,58.380001068115234,54.52916717529297,23659800
2020-03-13,61.83000183105469,62.9900016784668,58.59000015258789,62.939998626708984,58.78837203979492,18660300
2020-03-16,56.220001220703125,59.88999938964844,55.56999969482422,55.79999923706055,52.11934280395508,18656400
2020-03-17,56.68000030517578,58.66999816894531,54.61000061035156,58.369998931884766,54.51982116699219,24962200
2020-03-18,54.29999923706055,54.9900016784668,50.36000061035156,54.06999969482422,50.50346374511719,26018900
2020-03-19,53.400001525878906,54.959999084472656,51.290000915527344,54.11000061035156,50.54081344604492,16868000
2020-03-20,54.5099983215332,55.15999984741211,51.18000030517578,51.400001525878906,48.00957107543945,22341700
2020-03-23,50.83000183105469,50.83000183105469,47.709999084472656,48.77000045776367,45.90673065185547,34346400
2020-03-24,51.7400016784668,55.119998931884766,51.61000061035156,54.939998626708984,51.71449279785156,29349700
2020-03-25,55.9900016784668,60.04999923706055,54.63999938964844,57.83000183105469,54.43482208251953,27753000
2020-03-26,58.93000030517578,61.83000183105469,58.40999984741211,61.47999954223633,57.87052536010742,22110200
2020-03-27,59.130001068115234,61.56999969482422,57.970001220703125,58.88999938964844,55.432586669921875,22486700
2020-03-30,58.91999816894531,60.040000915527344,57.97999954223633,59.75,56.24209213256836,15759000
2020-03-31,59.25,60.25,58.7599983215332,59.0099983215332,55.5455436706543,12883900
2020-04-01,56.380001068115234,57.060001373291016,55.540000915527344,56.349998474121094,53.041709899902344,16057100
2020-04-02,55.849998474121094,57.869998931884766,55.630001068115234,57.099998474121094,53.747676849365234,23895100
2020-04-03,56.939998626708984,57.529998779296875,55.720001220703125,56.34000015258789,53.03230667114258,15912400
2020-04-06,58.880001068115234,60.59000015258789,58.810001373291016,60.2400016784668,56.70332717895508,19306700
2020-04-07,62.5,63.189998626708984,60.060001373291016,60.099998474121094,56.57154846191406,18391000
2020-04-08,60.93000030517578,62.619998931884766,60.43000030517578,62.279998779296875,58.62356185913086,11986700
2020-04-09,63.470001220703125,64.33000183105469,62.650001525878906,63.220001220703125,59.50838088989258,21132300
2020-04-13,62.81999969482422,62.86000061035156,60.79999923706055,61.369998931884766,57.766990661621094,11086600
2020-04-14,62.720001220703125,63.18000030517578,61.91999816894531,62.540000915527344,58.86830520629883,15293600
2020-04-15,61.16999816894531,61.290000915527344,59.790000915527344,60.810001373291016,57.23986053466797,12758400
2020-04-16,60.720001220703125,60.7400016784668,59.369998931884766,60.27000045776367,56.7315673828125,16117600
2020-04-17,62.33000183105469,63.310001373291016,62.11000061035156,63.099998474121094,59.39542007446289,18372500
2020-04-20,61.900001525878906,62.63999938964844,61.220001220703125,61.41999816894531,57.81405258178711,10475100
2020-04-21,60.09000015258789,60.77000045776367,59.72999954223633,59.970001220703125,56.449188232421875,9553300
2020-04-22,61.13999938964844,61.29999923706055,60.22999954223633,60.599998474121094,57.04219055175781,9185000
2020-04-23,61.06999969482422,62.349998474121094,61.060001373291016,61.08000183105469,57.49401092529297,14256500
2020-04-24,61.61000061035156,61.779998779296875,60.58000183105469,61.56999969482422,57.955238342285156,7139000
2020-04-27,62.0,63.4900016784668,61.880001068115234,63.099998474121094,59.39542007446289,9323200
2020-04-28,64.33999633789062,65.01000213623047,63.61000061035156,64.27999877929688,60.50614929199219,9938600
2020-04-29,65.56999969482422,66.22000122070312,64.91999816894531,65.51000213623047,61.6639404296875,12757000
2020-04-30,64.5999984741211,64.72000122070312,63.7400016784668,64.20999908447266,60.440250396728516,14309800
2020-05-01,63.08000183105469,63.25,61.86000061035156,62.27000045776367,58.6141471862793,9019200
2020-05-04,61.38999938964844,61.4900016784668,60.599998474121094,61.47999954223633,57.87052536010742,8551700
2020-05-05,62.04999923706055,62.560001373291016,61.650001525878906,61.720001220703125,58.0964469909668,8691200
2020-05-06,62.060001373291016,62.11000061035156,60.790000915527344,60.869998931884766,57.296348571777344,7048100
2020-05-07,61.689998626708984,62.369998931884766,61.34000015258789,61.58000183105469,57.964664459228516,8144500
2020-05-08,62.33000183105469,63.2400016784668,62.310001373291016,63.11000061035156,59.40482711791992,8661500
2020-05-11,62.47999954223633,62.79999923706055,61.88999938964844,62.31999969482422,58.66121292114258,8407700
2020-05-12,62.470001220703125,62.709999084472656,60.560001373291016,60.56999969482422,57.01396179199219,12329000
2020-05-13,60.209999084472656,60.279998779296875,58.5,59.04999923706055,55.583194732666016,15434500
2020-05-14,58.18000030517578,59.66999816894531,56.970001220703125,59.66999816894531,56.16679382324219,14221100
2020-05-15,58.970001220703125,59.83000183105469,58.70000076293945,59.459999084472656,55.969120025634766,17398000
2020-05-18,61.81999969482422,63.779998779296875,61.650001525878906,63.380001068115234,59.65897750854492,22117500
2020-05-19,63.2599983215332,63.869998931884766,62.560001373291016,62.56999969482422,58.89653396606445,12447700
2020-05-20,63.560001373291016,64.3499984741211,63.470001220703125,63.7400016784668,59.99784469604492,8644000
2020-05-21,63.75,64.4000015258789,63.40999984741211,63.88999938964844,60.139034271240234,7682300
2020-05-22,64.01000213623047,64.05999755859375,63.27000045776367,63.84000015258789,60.09197998046875,7113000
2020-05-26,65.8499984741211,67.02999877929688,65.81999969482422,66.5199966430664,62.6146240234375,14908000
2020-05-27,67.95999908447266,68.79000091552734,67.29000091552734,68.73999786376953,64.70428466796875,21918500
2020-05-28,69.43000030517578,69.6500015258789,67.97000122070312,68.08999633789062,64.09244537353516,17490200
2020-05-29,67.45999908447266,68.12999725341797,66.75,67.66999816894531,63.697113037109375,18881500
2020-06-01,67.5999984741211,68.33000183105469,67.33999633789062,67.81999969482422,63.83829879760742,12919200
2020-06-02,68.33000183105469,68.87999725341797,68.04000091552734,68.69999694824219,64.66663360595703,10852400
2020-06-03,69.69999694824219,71.56999969482422,69.66999816894531,71.37999725341797,67.1893081665039,16253300
2020-06-04,71.22000122070312,72.16999816894531,71.04000091552734,72.13999938964844,67.90469360351562,17880500
2020-06-05,75.16000366210938,76.20999908447266,74.48999786376953,74.79000091552734,70.39909362792969,19564100
2020-06-08,75.75,76.52999877929688,75.72000122070312,76.29000091552734,71.81104278564453,18906200
2020-06-09,74.9000015258789,75.0,74.05999755859375,74.38999938964844,70.0225830078125,15074600
2020-06-10,74.04000091552734,74.13999938964844,72.37999725341797,72.61000061035156,68.34709930419922,16694200
2020-06-11,69.5199966430664,70.08999633789062,67.41000366210938,67.51000213623047,63.546512603759766,26054800
2020-06-12,69.94999694824219,70.13999938964844,67.13999938964844,68.81999969482422,64.77960205078125,29161900
2020-06-15,66.62999725341797,69.93000030517578,66.36000061035156,69.5,65.41968536376953,18116200
2020-06-16,72.41000366210938,72.48999786376953,69.58999633789062,70.86000061035156,66.69984436035156,20563200
2020-06-17,71.0199966430664,71.16000366210938,70.18000030517578,70.3499984741211,66.21976470947266,9448200
2020-06-18,69.69000244140625,70.72000122070312,69.55000305175781,70.08999633789062,65.97505187988281,8632800
2020-06-19,71.12999725341797,71.20999908447266,68.76000213623047,69.2300033569336,65.16552734375,15601300
2020-06-22,68.51000213623047,69.26000213623047,67.94000244140625,69.04000091552734,65.27519989013672,7932000
2020-06-23,69.73999786376953,69.83000183105469,68.87999725341797,69.05000305175781,65.28465270996094,8849600
2020-06-24,68.11000061035156,68.33999633789062,66.4800033569336,66.6500015258789,63.01552963256836,16922800
2020-06-25,66.20999908447266,67.44999694824219,65.62999725341797,67.38999938964844,63.715179443359375,11623700
2020-06-26,67.12000274658203,67.37000274658203,65.8499984741211,66.13999938964844,62.53334045410156,21429900
2020-06-29,67.12000274658203,68.30999755859375,66.69000244140625,68.30999755859375,64.58501434326172,10864700
2020-06-30,67.79000091552734,69.08999633789062,67.58999633789062,68.69999694824219,64.95374298095703,8868500
2020-07-01,69.37999725341797,69.94000244140625,68.33000183105469,68.38999938964844,64.66064453125,9789000
2020-07-02,69.48999786376953,70.0,68.80999755859375,68.9800033569336,65.218505859375,8279800
2020-07-06,70.05000305175781,70.33999633789062,69.45999908447266,69.97000122070312,66.15450286865234,10815400
2020-07-07,69.29000091552734,69.58999633789062,68.55000305175781,68.62999725341797,64.8875503540039,6111800
2020-07-08,68.5999984741211,69.05999755859375,68.05000305175781,68.62999725341797,64.8875503540039,8576500
2020-07-09,68.51000213623047,68.58999633789062,66.91999816894531,67.13999938964844,63.47880935668945,16782900
2020-07-10,67.08000183105469,68.06999969482422,67.08000183105469,68.01000213623047,64.30137634277344,9255300
2020-07-13,68.5999984741211,69.45999908447266,67.93000030517578,68.29000091552734,64.56610107421875,14570100
2020-07-14,68.05000305175781,69.8499984741211,67.7699966430664,69.7699966430664,65.96540069580078,12689500
2020-07-15,71.05999755859375,71.87000274658203,70.66000366210938,71.55000305175781,67.64832305908203,15472400
2020-07-16,71.22000122070312,71.91999816894531,70.88999938964844,71.56999969482422,67.6672592163086,13017100
2020-07-17,71.88999938964844,72.1500015258789,71.5199966430664,72.0,68.07379150390625,8605200
2020-07-20,71.58999633789062,71.76000213623047,70.91000366210938,71.12000274658203,67.24178314208984,9404600
2020-07-21,71.76000213623047,72.58000183105469,71.62999725341797,72.05999755859375,68.13052368164062,9344300
2020-07-22,71.77999877929688,72.73999786376953,71.76000213623047,72.63999938964844,68.67888641357422,7620200
2020-07-23,72.55000305175781,73.08999633789062,72.13999938964844,72.41999816894531,68.47089385986328,7538000
2020-07-24,72.30999755859375,72.70999908447266,71.62999725341797,71.83999633789062,67.92251586914062,10061400
2020-07-27,71.81999969482422,72.23999786376953,71.4000015258789,72.13999938964844,68.2061538696289,6198400
2020-07-28,71.80000305175781,72.23999786376953,71.58000183105469,71.63999938964844,67.7334213256836,5964500
2020-07-29,72.01000213623047,72.88999938964844,71.95999908447266,72.7300033569336,68.76399230957031,6935400
2020-07-30,72.22000122070312,72.41000366210938,71.47000122070312,72.0,68.07379150390625,9118700
2020-07-31,71.70999908447266,71.87999725341797,70.52999877929688,71.7300033569336,67.81851959228516,9836300
2020-08-03,71.81999969482422,72.27999877929688,71.37000274658203,72.02999877929688,68.1021499633789,12737000
2020-08-04,71.7699966430664,72.25,71.75,72.20999908447266,68.2723388671875,6560900
