BN.TO, 2000-01-04, 2000-01-05, 1.288443922996521, 1.2983547449111938, 0.007692086351436509, 1
CNQ.TO, 2000-01-05, 2000-01-06, 2.524498224258423, 2.546013593673706, 0.0085226320258567, 1
BBY, 2000-01-07, 2000-01-12, 15.713805198669434, 14.685334205627441, -0.06545015545496759, 5
HST, 2000-01-11, 2000-01-12, 4.0565409660339355, 4.0853118896484375, 0.007092477027942152, 1
MO, 2000-01-14, 2000-01-20, 1.412157654762268, 1.3147989511489868, -0.06894322548545138, 6
TA.TO, 2000-01-17, 2000-01-20, 5.733556747436523, 5.264772415161133, -0.08176152306942534, 3
RCL, 2000-01-19, 2000-01-28, 39.51653289794922, 36.62071228027344, -0.07328124218676242, 9
BKNG, 2000-01-20, 2000-01-21, 371.625, 381.0, 0.025227043390514632, 1
VET.TO, 2000-01-24, 2000-02-01, 1.210106372833252, 1.1294329166412354, -0.06666641710441855, 8
SBUX, 2000-01-28, 2000-01-29, 2.9139246940612793, 3.1277339458465576, 0.07337500938889464, 1
TMO, 2000-01-31, 2000-02-01, 14.193033218383789, 14.500458717346191, 0.021660309972656427, 1
TXN, 2000-02-03, 2000-02-05, 43.2695198059082, 43.430992126464844, 0.003731779813618188, 2
EBAY, 2000-02-04, 2000-02-05, 8.144160270690918, 8.216850280761719, 0.00892541497892625, 1
ADBE, 2000-02-10, 2000-02-16, 22.6511173248291, 24.37322235107422, 0.07602737655494926, 6
BLK, 2000-02-16, 2000-02-19, 11.496637344360352, 11.535473823547363, 0.003378072911559906, 3
MCHP, 2000-02-17, 2000-02-24, 6.310593128204346, 6.8259053230285645, 0.08165828224942918, 7
NVDA, 2000-02-22, 2000-02-23, 1.2517344951629639, 1.2589020729064941, 0.005726116657508207, 1
NA.TO, 2000-02-23, 2000-02-25, 4.034222602844238, 4.53987455368042, 0.12534061716864187, 2
WN.TO, 2000-02-24, 2000-03-08, 33.7479362487793, 30.827442169189453, -0.08653844958283875, 13
MU, 2000-03-01, 2000-03-03, 50.01400375366211, 45.95882034301758, -0.0810809594572321, 2
EA, 2000-03-03, 2000-03-04, 25.05467987060547, 22.296363830566406, -0.11009184927863161, 1
WPK.TO, 2000-03-06, 2000-03-07, 4.303772449493408, 4.375505447387695, 0.016667469931578447, 1
TTWO, 2000-03-07, 2000-03-08, 10.936824798583984, 11.957594871520996, 0.09333331124305595, 1
ROST, 2000-03-09, 2000-03-14, 1.666074514389038, 1.7474989891052246, 0.04887204864666301, 5
CNQ.TO, 2000-03-13, 2000-03-16, 2.5818727016448975, 2.5998029708862305, 0.006944675943902938, 3
CCI, 2000-03-15, 2000-03-16, 27.652429580688477, 27.824993133544922, 0.006240448144092115, 1
BTE.TO, 2000-03-16, 2000-03-17, 4.024158954620361, 4.112019062042236, 0.021833160273402697, 1
XLU, 2000-03-17, 2000-03-31, 11.519535064697266, 11.560063362121582, 0.003518223365500168, 14
XLI, 2000-03-20, 2000-03-21, 17.978139877319336, 18.362796783447266, 0.021395812289412706, 1
CLS.TO, 2000-03-21, 2000-03-22, 82.5999984741211, 83.0, 0.004842633574675286, 1
WFC, 2000-03-22, 2000-03-23, 10.329440116882324, 10.70065689086914, 0.03593774394220106, 1
UPS, 2000-03-23, 2000-03-24, 31.956409454345703, 34.167240142822266, 0.06918270000373634, 1
IGM.TO, 2000-03-24, 2000-04-06, 5.532707691192627, 5.7652812004089355, 0.042036110020150945, 13
XLB, 2000-03-27, 2000-03-29, 13.050262451171875, 13.068449974060059, 0.0013936518867902468, 2
IAG.TO, 2000-03-28, 2000-03-29, 4.840346336364746, 4.960023403167725, 0.024724897452866938, 1
AXP, 2000-03-29, 2000-04-01, 31.824981689453125, 32.63829040527344, 0.025555669560364428, 3
XLP, 2000-03-30, 2000-04-01, 12.126018524169922, 12.614607810974121, 0.04029263899196008, 2
BN.TO, 2000-03-31, 2000-04-28, 1.2045055627822876, 1.2147233486175537, 0.008482971063798202, 28
IMO.TO, 2000-04-03, 2000-04-05, 7.230010032653809, 7.241252899169922, 0.0015550277890813017, 2
LNR.TO, 2000-04-04, 2000-04-05, 8.105557441711426, 8.179243087768555, 0.009090756137010455, 1
ARX.TO, 2000-04-06, 2000-04-11, 1.5128681659698486, 1.5214152336120605, 0.005649578617931112, 5
HST, 2000-04-07, 2000-04-08, 4.6263275146484375, 4.655795097351074, 0.006369540982417024, 1
SPG, 2000-04-11, 2000-04-12, 7.576789379119873, 7.674432754516602, 0.01288717034497676, 1
ACO-X.TO, 2000-04-17, 2000-04-19, 4.457365036010742, 4.651165008544922, 0.04347859575522381, 2
CCO.TO, 2000-04-18, 2000-04-20, 2.339632749557495, 2.0866994857788086, -0.10810810535393851, 2
ABX.TO, 2000-04-20, 2000-04-21, 19.015567779541016, 19.091032028198242, 0.003968550901668005, 1
DE, 2000-05-10, 2000-05-12, 13.055713653564453, 13.778857231140137, 0.05538905009441992, 2
CIGI.TO, 2000-05-11, 2000-05-18, 4.931980133056641, 5.072895526885986, 0.02857176834206185, 7
SLF.TO, 2000-05-12, 2000-05-13, 8.18977165222168, 8.658976554870605, 0.05729157326647102, 1
SAP.TO, 2000-05-15, 2000-05-25, 2.5279765129089355, 2.540228843688965, 0.004846694863446565, 10
BTE.TO, 2000-05-16, 2000-05-18, 5.254251956939697, 5.306967735290527, 0.010032974966342121, 2
VET.TO, 2000-05-17, 2000-05-18, 1.6480491161346436, 1.6595734357833862, 0.006992704001305476, 1
TTWO, 2000-05-18, 2000-05-23, 8.416147232055664, 7.832849502563477, -0.06930697781408889, 5
