, MCD ,264.768, 2023-11-03 00:00:00-04:00 ,298.83 , 2024-01-19 00:00:00-05:00 , 34.0617,12.8647,1.54881e+09 ,90.8497 , 153 ,51 ,
, CLSK,4.64 , 2023-11-02 00:00:00-04:00 , 13.43 , 2023-12-27 00:00:00-05:00 ,8.79, 189.44,2.14166e+06 ,93.75 ,16 ,37 ,
, DXCM, 94.13 , 2023-11-01 00:00:00-04:00 ,129.7, 2024-01-09 00:00:00-05:00 , 35.57,37.7882,4.81482e+06 ,98.2759 ,58 ,46 ,
, QSR.TO, 91.36 , 2023-10-27 00:00:00-04:00 ,106.72 , 2024-02-02 00:00:00-05:00 , 15.36,16.8126, 5618.49,92.3077 ,26 ,67 ,
, VZ, 33.8984 , 2023-10-26 00:00:00-04:00 , 42.49 , 2024-02-01 00:00:00-05:00 ,8.59164 ,25.3453,1.19693e+06 ,96.3303 , 109 ,66 ,
, LHX ,174.671, 2023-10-25 00:00:00-04:00 ,210.92 , 2023-12-28 00:00:00-05:00 , 36.2488,20.7526,4.08699e+07 ,91.6667 , 120 ,44 ,
, LULU,403.37 , 2023-10-24 00:00:00-04:00 ,511.29 , 2023-12-29 00:00:00-05:00 ,107.92,26.7546, 906033 ,97.619,42 ,46 ,
, FTS.TO, 52.6633 , 2023-10-23 00:00:00-04:00 , 56.0098 , 2023-11-02 00:00:00-04:00 ,3.3465, 6.35452 ,59523.3 ,94.0476 ,84 , 8 ,
, GLD ,183.59 , 2023-10-20 00:00:00-04:00 ,192.59 , 2023-12-27 00:00:00-05:00 ,9 , 4.90223 ,29875.6 ,92.1569 ,51 ,46 ,
, ABX.TO, 22.4539 , 2023-10-19 00:00:00-04:00 , 24.2223 , 2023-12-27 00:00:00-05:00 ,1.76842 , 7.87575 ,1.11758e+06 ,92.4051 ,79 ,47 ,
, SNAP,9.69 , 2023-10-17 00:00:00-04:00 , 17.37 , 2024-01-10 00:00:00-05:00 ,7.68,79.257 ,47071.8 ,94.4444 ,18 ,58 ,
, LMT ,434.108, 2023-10-16 00:00:00-04:00 ,459.806, 2024-01-12 00:00:00-05:00 , 25.6989, 5.91994 ,3.01881e+08 ,96.063, 127 ,61 ,
, SNPS,489.67 , 2023-10-13 00:00:00-04:00 ,492.05 , 2023-10-17 00:00:00-04:00 ,2.37997 , 0.486036,7.63892e+06 ,93.4783 ,92 , 2 ,
, NOC ,473.472, 2023-10-12 00:00:00-04:00 ,486.813, 2023-10-18 00:00:00-04:00 , 13.3419, 2.81788 ,2.05385e+07 ,91.0569 , 123 , 4 ,
, EA,127.732, 2023-10-10 00:00:00-04:00 ,142.16 , 2023-12-13 00:00:00-05:00 , 14.4282,11.2957,6.10366e+07 ,93.6842 ,95 ,45 ,
, TRIP, 16.58 , 2023-09-29 00:00:00-04:00 , 14.49 , 2023-10-26 00:00:00-04:00 , -2.09, -12.6055,47251.1 ,91.4286 ,35 , 1 ,
, XLU , 62.6102 , 2023-09-25 00:00:00-04:00 , 59.5688 , 2023-09-27 00:00:00-04:00 , -3.04135 ,-4.85759 ,33286.5 ,93.9394 ,66 , 1 ,
, KHC , 34.0967 , 2023-09-21 00:00:00-04:00 , 34.1066 , 2023-09-26 00:00:00-04:00 ,0.00988388, 0.0289878 , 3635.27,95,20 , 3 ,
, SO, 69.5075 , 2023-09-18 00:00:00-04:00 , 69.7524 , 2023-09-20 00:00:00-04:00 ,0.244919, 0.352363, 687176 ,90.3509 , 114 , 2 ,
, CRWD,170.73 , 2023-09-14 00:00:00-04:00 ,334.55 , 2024-02-14 00:00:00-05:00 ,163.82,95.9527,19249.3 , 100,13 , 105 ,
, SPOT,155.49 , 2023-09-13 00:00:00-04:00 ,160.77 , 2023-09-20 00:00:00-04:00 ,5.28, 3.39572 , 9593.73, 100,13 , 5 ,
, ZM, 72.06 , 2023-09-08 00:00:00-04:00 , 68.33 , 2023-09-28 00:00:00-04:00 , -3.73,-5.17624 , 6816.11,91.6667 ,12 , 1 ,
, AFRM, 22.48 , 2023-09-07 00:00:00-04:00 , 25.01 , 2023-09-18 00:00:00-04:00 ,2.53,11.2545, 8283.11, 100, 5 , 7 ,
, OKTA, 83.51 , 2023-08-31 00:00:00-04:00 , 90.08 , 2023-09-11 00:00:00-04:00 ,6.57, 7.86732 ,15798.9 ,95.2381 ,21 , 6 ,
, T , 14.2219 , 2023-08-30 00:00:00-04:00 , 17.1896 , 2024-01-05 00:00:00-05:00 ,2.96771 ,20.8672,1.03129e+06 ,92.0354 , 113 ,88 ,
, VZ, 33.4018 , 2023-08-29 00:00:00-04:00 , 33.681, 2023-08-31 00:00:00-04:00 ,0.279228, 0.835969, 954908 ,96.2963 , 108 , 2 ,
, LLY ,544.279, 2023-08-16 00:00:00-04:00 ,597.148, 2023-09-12 00:00:00-04:00 , 52.8695, 9.71369 ,1.33763e+08 ,93.5484 , 155 ,18 ,
, MELI, 1323.11 , 2023-08-03 00:00:00-04:00 , 1436.35 , 2023-09-07 00:00:00-04:00 ,113.24, 8.55862 ,2.03648e+06 ,95.2381 ,42 ,24 ,
, INCY, 65.68 , 2023-08-02 00:00:00-04:00 , 65.93 , 2023-08-11 00:00:00-04:00 ,0.25, 0.380633,1.45623e+10 ,94.8718 ,78 , 7 ,
, IMO.TO, 70.2119 , 2023-07-28 00:00:00-04:00 , 83.2089 , 2023-09-27 00:00:00-04:00 , 12.997 ,18.5111, 750162 ,93.1034 ,87 ,41 ,
, ELV ,467.691, 2023-07-27 00:00:00-04:00 ,471.039, 2023-08-11 00:00:00-04:00 ,3.34851 , 0.715967, 100199 ,90.4762 ,63 ,11 ,
, EFA , 73.1623 , 2023-07-26 00:00:00-04:00 , 73.5376 , 2023-07-31 00:00:00-04:00 ,0.37529 , 0.512956,22959.2 ,96.5517 ,58 , 3 ,
, SBUX,101.206, 2023-07-25 00:00:00-04:00 , 94.0937 , 2023-08-23 00:00:00-04:00 , -7.11198 ,-7.02725 ,6.58463e+06 ,95.0617 ,81 , 7 ,
, XLP , 74.2994 , 2023-07-20 00:00:00-04:00 , 75.019, 2023-07-28 00:00:00-04:00 ,0.719627, 0.968551,14050.9 ,95.3125 ,64 , 6 ,
, TMO ,534.822, 2023-07-19 00:00:00-04:00 ,573.629, 2023-07-26 00:00:00-04:00 , 38.8071, 7.25608 ,1.23838e+08 ,94.0171 , 117 , 5 ,
, ABX.TO, 22.8069 , 2023-07-18 00:00:00-04:00 , 19.4127 , 2023-09-28 00:00:00-04:00 , -3.39426 , -14.8826,1.03598e+06 ,92.3077 ,78 , 1 ,
, EBAY, 45.9558 , 2023-07-14 00:00:00-04:00 , 48.4562 , 2023-07-19 00:00:00-04:00 ,2.50039 , 5.44087 ,4.78332e+06 ,94.4444 ,72 , 3 ,
, CM.TO , 55.0685 , 2023-07-13 00:00:00-04:00 , 56.3392 , 2023-07-31 00:00:00-04:00 ,1.27073 , 2.30755 , 325389 ,97.4026 ,77 ,12 ,
, EA,134.889, 2023-07-12 00:00:00-04:00 ,138.971, 2023-07-25 00:00:00-04:00 ,4.08243 , 3.02651 ,5.48418e+07 ,93.617,94 , 9 ,
, CLSK,6.42 , 2023-07-11 00:00:00-04:00 ,7.47 , 2023-07-13 00:00:00-04:00 ,1.05,16.3551, 739933 ,93.3333 ,15 , 2 ,
, HLT ,147.926, 2023-07-07 00:00:00-04:00 ,155.077, 2023-07-31 00:00:00-04:00 ,7.15096 , 4.83415 , 8966.2 ,92.8571 ,28 ,16 ,
